"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"66","130.34725587122387","121.94311653154425","0.008544921875","0.0126953125","0.00439453125","1560","0.0009413879137948403","32","0.0009413879137948403","0","0.0009413879137948403","0.0009413879137948403","65:0.0041977150336541535;67:0.0038676280991876977","65:68;67:68","65:0.005906450822639159;67:0.005619837929584093","0.008544921875","Yes"
"67","150.35039553119495","119.47370613013597","0.041259765625","0.0390625","0.04345703125","1560","0.0001949312515462703","32","0.0001949312515462703","0","0.0001949312515462703","0.0001949312515462703","68:0.0023689790887177764;74:0.001961440973317935;66:0.0038676280991876977","68:88;74:72;66:68","68:0.0021343495796304346;74:0.003058546556232472;66:0.005619837929584093","0.041259765625","Yes"
"68","148.78958094884294","68.23967045197433","0.010498046875","0.01220703125","0.0087890625","1560","0.00031916696319724073","32","0.00031916696319724073","0","0.00031916696319724073","0.00031916696319724073","67:0.0023689790887177764;69:0.002383012244298599","67:88;69:68","67:0.0021343495796304346;69:0.0031046695079113285","0.010498046875","Yes"
"69","97.72484520865292","67.90656029088115","0.036376953125","0.03955078125","0.033203125","1560","0.00026676962064401544","32","0.00026676962064401544","0","0.00026676962064401544","0.00026676962064401544","56:0.0032849817169787743;68:0.002383012244298599;70:0.02896020257395332","56:160;68:68;70:68","56:0.003129084231494411;68:0.0031046695079113285;70:0.022022590484009924","0.036376953125","Yes"
"70","64.87616182216047","31.206010363367213","0.066162109375","0.05322265625","0.0791015625","1560","0.0037956888130972416","32","0.0037956888130972416","0","0.0037956888130972416","0.0037956888130972416","69:0.02896020257395332;71:0.033355072283939524","69:68;71:68","69:0.022022590484009924;71:0.01737597428658133","0.066162109375","Yes"
"71","157.8154011024","40.492784084571866","0.0439453125","0.052734375","0.03515625","1560","0.000633585736059281","32","0.000633585736059281","0","0.000633585736059281","0.000633585736059281","75:0.0024857543179771235;70:0.033355072283939524","75:112;70:68","75:0.002600574449992621;70:0.01737597428658133","0.0439453125","Yes"
"72","138.32720511636631","73.92584858319597","0.013427734375","0.01318359375","0.013671875","1560","0.0004219971354682146","32","0.0004219971354682146","0","0.0004219971354682146","0.0004219971354682146","59:0.005948757072774452;78:0.0036133217070718204","59:68;78:120","59:0.009252613252806047;78:0.0034130065532045895","0.013427734375","Yes"
"73","187.80480602482783","72.67408020143955","0.02734375","0.025390625","0.029296875","1560","0.0005007639110502178","32","0.0005007639110502178","0","0.0005007639110502178","0.0005007639110502178","82:0.00200083854585012;63:0.0026890676092405363","82:88;63:88","82:0.0018536192947399555;63:0.00276594028080826","0.02734375","Yes"
"74","264.8785757608307","136.1969991576225","0.01513671875","0.00927734375","0.02099609375","1560","0.0003979002925738134","32","0.0003979002925738134","0","0.0003979002925738134","0.0003979002925738134","86:0.0019528682242978546;67:0.001961440973317935","86:68;67:72","86:0.001501546635135964;67:0.003058546556232472","0.01513671875","Yes"
"75","245.20352863758401","135.16132371232874","0.009765625","0.01171875","0.0078125","1560","0.0007524714774691659","32","0.0007524714774691659","0","0.0007524714774691659","0.0007524714774691659","90:0.0019410399573964177;71:0.0024857543179771235","90:88;71:112","90:0.002074354704340947;71:0.002600574449992621","0.009765625","Yes"
"76","156.5619881459667","167.8145221771421","0.06494140625","0.01708984375","0.11279296875","1560","0.00010035623286256883","32","0.00010035623286256883","0","0.00010035623286256883","0.00010035623286256883","91:0.003810857332985168;77:0.0021698623210109347","91:68;77:68","91:0.0036219374616465183;77:0.0023983601932456855","0.06494140625","Yes"
"77","218.58735643373348","152.380269687193","0.029541015625","0.021484375","0.03759765625","1560","0.0001732855299870313","32","0.0001732855299870313","0","0.0001732855299870313","0.0001732855299870313","78:0.0021129254143147924;76:0.0021698623210109347","78:68;76:68","78:0.002342705092444136;76:0.0023983601932456855","0.029541015625","Yes"
"78","90.39091456288149","72.02275225445025","0.04345703125","0.06201171875","0.02490234375","1560","0.0003511703015863027","32","0.0003511703015863027","0","0.0003511703015863027","0.0003511703015863027","77:0.0021129254143147924;79:0.00995499611673889;72:0.0036133217070718204","77:68;79:88;72:120","77:0.002342705092444136;79:0.0063262885763836485;72:0.0034130065532045895","0.04345703125","Yes"
"79","122.17009659709534","119.09575645370833","0.04248046875","0.0791015625","0.005859375","1560","0.002605472789076974","32","0.002605472789076974","0","0.002605472789076974","0.002605472789076974","78:0.00995499611673889;80:0.00925866111278753","78:88;80:68","78:0.0063262885763836485;80:0.006543290782628858","0.04248046875","Yes"
"80","163.67461845647844","26.672736559470355","0.031982421875","0.02978515625","0.0341796875","1560","0.00039519754081402737","32","0.00039519754081402737","0","0.00039519754081402737","0.00039519754081402737","81:0.002272874035337269;92:0.00119558596109956;79:0.00925866111278753","81:68;92:68;79:68","81:0.002426716266897;92:0.001299004044987645;79:0.006543290782628858","0.031982421875","Yes"
"81","179.59277974339972","159.28013413322768","0.006103515625","0.00341796875","0.0087890625","1560","0.0003934040347136972","32","0.0003934040347136972","0","0.0003934040347136972","0.0003934040347136972","80:0.002272874035337269;82:0.002124289365615678","80:68;82:68","80:0.002426716266897;82:0.0023106731781009915","0.006103515625","Yes"
